1155569-concordia-llc-contract-with-city-of-new-orleans,"hereto agreeas follows:The Original Contract Surn $145,331.00Net Change by previous Amendments 00,000."
1155569-concordia-llc-contract-with-city-of-new-orleans,"ent 0.00New Contract Sum including this Amendment $145,331.001. ADDED BASIC SERVICES UNDER THIS AMENDM"
1155569-concordia-llc-contract-with-city-of-new-orleans,"nal and amended Basic and Additional Services is: $145,331.00 (One Hundred Forty FiveThousand Three Hu"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"rsonal advertising injury withlimits no less than $1,000,000 per occurrence. Ifa general aggregate lim"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"t shall be twice the required occurrence limit.a. $2,000,000: Aggregate for projects valued under $5,0"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"b. $4,000,000: Aggregate for projects valued from $5,000,000 to $10,000,000;$5,000,000: Aggregate for "
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"rojects valued from $20,000,001 to $25,000,000;d. $10,000,000: Aggregate for projects valued over $25,"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"non-owned autos (Code 9), with limit no less than $500,000 CombinedSingle Limit per accident for bodil"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"r?s Liability Insurance with limit ofno less than $1,000,000 per accident forbodily injury or disease."
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"e)(applicable to contracts and subcontracts above $10,000)During the performance of this contract, the"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"IES(applicable to contracts and subcontracts over $10,000)By the submission of this bid, the bidder, o"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"ctors prior to the award of subcontracts exceeding$10,000 which are not exempt from the provisions of "
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"93)(applicable to contracts and subcontracts over $10,000)A. The Consultant will not. discriminate aga"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"this clause in every subcontract or purchaseorder $310,000 or more unless exempted by rules, regulatio"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"pplicable to contracts and subcontracts exceeding $100,000)The Consultant and all subcontractors shall"
1659784-waggoner-engineering-inc-waggoner-2014-cdbg-01c,"NDED (applicable to contracts and subcontracts of $10,000 and under)During the performance of this con"
779307-03-11-13-linfield-hunter-amp-junius-fema-west,"vices shall not exceed the followingamounts:Phase $34,947.00Phases IV, $19,093.24, apportioned as foll"
779307-03-11-13-linfield-hunter-amp-junius-fema-west,"ase IV 25%Phase V(a) 20%Phase V(b) (if requested) $7,159.80The maximum amount due 'under this Agreemen"
779307-03-11-13-linfield-hunter-amp-junius-fema-west,"mmercial general liability insurance not lessthan $1,000,000 per occurrence and general aggregate.5. A"
1155303-fee-nah-nay-llc-contract-with-city-of-new,nd a clean?up deposit of FIVE HUNDRED and 00/ 100($500.00) (?Clean?Up Deposit?). The Rent and 2 Deposi
1155303-fee-nah-nay-llc-contract-with-city-of-new,ay arise by virtue of their use. Lessee shall pay $25.00 per day for waterused from City facilities an
204904-6-30-08-public-finanical-offices-issueing-of-bonds,"equisition 0830789 REQUISITIONIDOCUMENT ID NUMBER $60,,000.00 AMOUNTTo provide financial advisory serv"
204904-6-30-08-public-finanical-offices-issueing-of-bonds,"rough the competitive selection process __ is for $15,000 or less and therefore exempt has been declar"
204904-6-30-08-public-finanical-offices-issueing-of-bonds,"secompensation to the Contractor in the amount of $60,000; andInNOW THEREFORE, the City and the Contra"
1155371-the-beta-group-engineering-and-construction,"t B-1 of this amendment. ORIGINAL CONTRACT AMOUNT $35,000.00 (NTE)AMENDMENT NO. 1 $40,000.00 (NTE)NEW "
1155371-the-beta-group-engineering-and-construction,"n Testing and Report 3,700.00c. ALCMS and CCR SAT $16,200.00d. Final Field Circuit insulation Test Ana"
1155371-the-beta-group-engineering-and-construction,"ta Testing and inspection Markup 2,990.00SUBTOTAL $32,890.003. Contingency 7,110.00TOTAL $40,000.00Not"
741465-11-07-12-coover-clark-and-associates-airport,"re in addition to the original contract amount of $255,076.53 and theamount authorized by Amendment no"
741465-11-07-12-coover-clark-and-associates-airport,", 2012 92,021.72Board approval September 20, 2012 $61,423.73Total approvals this amendment 8,687,450.7"
302213-11-30-09-unity-of-greater-new-orleans,"xteen Thousand Seven Hundred Seventy-Two Dollars ($1,216,772.00) for servicesprovided in conjunction w"
302213-11-30-09-unity-of-greater-new-orleans,"reement. The City has the option to provide up to $2,017,813.38 of Homelessness Prevention and Re-Hous"
302213-11-30-09-unity-of-greater-new-orleans,"PLIANCE2 3 4 5 6 7 8 910Organizations that expend $500,000 or more of federal funds in the organizatio"
302213-11-30-09-unity-of-greater-new-orleans,"ost. All other organizations who expend less than $500,000 in federal funds, may be selected to have a"
1158540-scnz-architects-l-l-c-contract-with-city-of-new,"PPR UNITOBJPROJEcT#AMOUNT21572157BOO3OFKCTGOO1MKC$$41,388.00To:iAGENCY ORG001270____270C051___41,388.0"
1158540-scnz-architects-l-l-c-contract-with-city-of-new,"in the amount of$ 17,335.05. The new totalwill be $58,723.05.cc:Mr. William ChrismanDirector of Capita"
204998-4-13-09-lee-ledbetter-and-associates-apc-nopd," new Contract Sum including this Amendment$ $ $ $ $101,894.00e 228,839.50e 330,733.50e 245,919.75e 576"
204998-4-13-09-lee-ledbetter-and-associates-apc-nopd,"hermography Report Total Amendment o o o o$ $ $ $ $77,416.00 9,800.00 18,528.00 10,600.00 116,344.00$ "
1153530-state-of-louisiana-contract-with-city-of-new,"art, with funds under this Agreement in excess of $25,000 shallbe used to meet one of the CDBG Nationa"
1153530-state-of-louisiana-contract-with-city-of-new,"ential hoinebuyersProgram. Pairanieters9 Funding0 $52,275,000 of Small Rental Property Program CDBG ?i"
1153530-state-of-louisiana-contract-with-city-of-new,"Target  of Homes to Finance 6630 Soft same Loans ($65,000 per House) 6Closiag Cost and BOWII Payment $"
1153530-state-of-louisiana-contract-with-city-of-new,"Perseaael and Ggaerasiag eapezasesPersoimel Costs $1,845,3846 Includes salaries and bene?is for Urban "
1153530-state-of-louisiana-contract-with-city-of-new," Programmatic positions . 0?Other Operating Costs $704,616 5includes allocations for o?ce space, offic"
1153530-state-of-louisiana-contract-with-city-of-new,"cellaneous costs -- 5Total Program Eelivery Costs $2,550,000Total Grant $52,i7S,000.001. collected fer"
1153530-state-of-louisiana-contract-with-city-of-new,"rinvestment iyren'ren.es rneenanr(January 1, 2012)$52,275,000$4s,725,000.00 00332.550.000.00 (See Exhi"
1153530-state-of-louisiana-contract-with-city-of-new,"he following order:a) A Soft Second Loan of up to $65,000 per eligible borrowerb) A Grant of up to $10"
1153530-state-of-louisiana-contract-with-city-of-new,"come, first served? basis.1% of purchase price or $1,000, whichever is greater 00Maximum Hornebuyer In"
1153530-state-of-louisiana-contract-with-city-of-new,"MSApublications.Household Size 2012 Income Limit1 $51,9752 $59,4003 $66,8254 $74,2505 $80,2506 $86,175"
1153530-state-of-louisiana-contract-with-city-of-new,"c Law 109-234, the second allocation to Louisiana,$1,112,6?50,000 be used for affordable rental housin"
